==========================================  Summary statistics  ==========================================
                                Variable          N      AvgDiff      MinDiff      MaxDiff        StDev
                         ptcloudsatflag9       1304  -1.5741e+27  -1.0526e+30  -1.0000e+00   4.0176e+28
                             cloudsatpia       1304  -9.9367e+29  -1.0000e+31  -1.0000e+00   1.8620e+30
                                cltisccp        698  -2.8266e+28  -2.0000e+29  -1.0000e+00   4.4917e+28
                             meantbisccp       1290  -3.7056e+27  -5.0248e+27  -3.2535e+27   3.3198e+26
                          meantbclrisccp       1290  -3.5416e+27  -4.9687e+27  -3.2019e+27   2.4628e+26
                                pctisccp        582  -2.2582e+25  -1.4126e+26  -1.0528e+25   1.7814e+25
                                tauisccp        582  -2.8374e+29  -3.0928e+30  -2.9971e+27   4.4923e+29
                                albisccp        582  -3.0710e+30  -1.9735e+31  -1.0376e+30   2.8076e+30
                             boxtauisccp       9159  -7.6855e+31  -2.7828e+34  -1.5741e+27   8.3865e+32
                            boxptopisccp       9159  -3.5123e+25  -1.9499e+26  -1.0168e+25   3.3880e+25
                                 clisccp      34202  -6.9739e+27  -2.0000e+29  -1.0000e+00   3.2517e+28
                                  clMISR      76048  -2.7723e+27  -2.0000e+29  -1.0000e+00   2.0889e+28
                           misr_meanztop        574   3.1597e+28  -1.1702e+29   1.0000e+30   1.7937e+29
                            misr_cldarea        679  -2.8806e+30  -2.0000e+31  -1.0000e+00   4.5366e+30
                                cltmodis        597  -2.9551e+28  -2.0000e+29  -1.0000e+00   4.5361e+28
                                clwmodis        597  -3.7287e+28  -2.0000e+29  -1.0000e+00   5.6860e+28
                                climodis        597  -1.7226e+28  -2.0000e+29  -1.0000e+00   3.6343e+28
                                clhmodis        597  -1.5014e+28  -2.0000e+29  -1.0000e+00   3.8008e+28
                                clmmodis        597  -2.6648e+28  -2.0000e+29  -1.0000e+00   5.5985e+28
                                cllmodis        597  -3.7482e+28  -2.0000e+29  -1.0000e+00   5.7629e+28
                               tautmodis        489  -2.4079e+29  -3.0986e+30  -2.9971e+27   4.6121e+29
                               tauwmodis        363  -1.4811e+29  -1.3186e+30  -2.9971e+27   1.5614e+29
                               tauimodis        271  -4.4076e+29  -3.0986e+30  -1.5741e+27   7.2295e+29
                            tautlogmodis        489   1.0589e+30  -8.0555e+32   1.7340e+33   9.1102e+31
                            tauwlogmodis        363  -1.4311e+30  -5.6191e+31   4.4073e+31   4.1809e+30
                            tauilogmodis        271  -4.0189e+30  -8.0555e+32   7.4838e+32   7.6383e+31
                            reffclwmodis        363  -1.0202e+35  -2.5000e+35  -3.4441e+34   3.4499e+34
                            reffclimodis        271  -3.1969e+34  -1.2187e+35  -1.2781e+34   1.5119e+34
                                pctmodis        597  -1.7290e+25  -9.2562e+25  -1.0000e+00   1.4231e+25
                                lwpmodis        363  -2.5175e+31  -3.8969e+32  -2.4720e+29   4.0197e+31
                                iwpmodis        271  -2.1209e+31  -2.5108e+32  -3.2783e+28   3.5801e+31
                                 clmodis      29253  -6.0914e+27  -2.0000e+29  -1.0000e+00   3.0640e+28
      modis_Optical_Thickness_vs_ReffICE        812  -1.0000e+00  -1.0000e+00  -1.0000e+00   0.0000e+00
      modis_Optical_Thickness_vs_ReffLIQ        847  -1.0000e+00  -1.0000e+00  -1.0000e+00   0.0000e+00
                              clcalipso2      52160  -3.4396e+27  -2.0000e+29  -1.0000e+00   2.0873e+28
                           cltlidarradar       1304  -2.6282e+28  -2.0000e+29  -1.0000e+00   4.1571e+28
                            cloudsat_tcc       1304  -2.8522e+28  -2.0000e+29  -1.0000e+00   4.9731e+28
                           cloudsat_tcc2       1304  -2.8522e+28  -2.0000e+29  -1.0000e+00   4.9731e+28
                                 npdfcld        482  -7.7156e+28  -1.0000e+30  -1.0000e+00   2.3406e+29
                                 npdfdrz        482  -3.4232e+28  -1.0000e+30  -1.0000e+00   1.7750e+29
                                npdfrain        482  -2.0747e+27  -1.0000e+30  -1.0000e+00   4.5501e+28
                                 ncfodd1     361500  -6.5866e+26  -1.0000e+30  -1.0000e+00   2.2593e+28
                                 ncfodd2     361500  -3.7341e+26  -1.0000e+30  -1.0000e+00   1.7572e+28
                                 ncfodd3     361500  -1.2756e+26  -1.0000e+30  -1.0000e+00   1.0557e+28
==========================================================================================================
